price_main,title,rooms,area,floor,building_type,materials,year,district
6702500 грн,"просп. Перемоги, 67к2",3 кімнати,85.3 / 47.5 / 13.5 м²,поверх 6 з 17,спец. проект,монолітно-каркасний,2019,Галагани
2872500 грн,"вул. Кулібіна, 6а",3 кімнати,57.6 / 42 / 7.5 м²,поверх 3 з 9,чеський проект,панельні,1977,Галагани
2221400 грн,"вул. Чистяківська, 11б",2 кімнати,55 / 29 / 10 м²,поверх 16 з 16,серія Т,утеплена панель,1987,Галагани
6511000 грн,просп. Перемоги,4 кімнати,109 / 85 / 15 м²,поверх 16 з 17,спец. проект,монолітно-каркасний,2021,Галагани
6242900 грн,"просп. Перемоги, 71а",2 кімнати,70 / 36 / 16 м²,поверх 4 з 16,спец. проект,монолітно-каркасний,2016,Галагани
2374600 грн,"просп. Перемоги, 77а",2 кімнати,55 / 30 / 7.3 м²,поверх 5 з 5,сталінка,цегляний будинок,1956,Галагани
4136400 грн,"просп. Перемоги, 67в",1 кімната,50 / 18 / 17 м²,поверх 8 з 17,спец. проект,монолітно-каркасний,2019,Галагани
1417062 грн,"вул. Чистяківська, 6/10",1 кімната,32.3 / 18.7 / 5.2 м²,поверх 9 з 9,чеський проект,панельні,1973,Галагани
2489500 грн,"просп. Перемоги, 71а",1 кімната,42 / 17 / 10 м²,поверх 16 з 16,спец. проект,монолітно-каркасний,2016,Галагани
4519400 грн,"просп. Перемоги, 67в",2 кімнати,72 / 30 / 17 м²,поверх 5 з 16,спец. проект,монолітно-каркасний,2019,Галагани
3178900 грн,"просп. Перемоги, 67к1",1 кімната,36 / 14 / 12 м²,поверх 16 з 16,спец. проект,монолітно-каркасний,2019,Галагани
4021500 грн,"просп. Перемоги, 73/1",4 кімнати,92 / 60 / 10 м²,поверх 5 з 5,сталінка,цегляний будинок,1938,Галагани
3810850 грн,"просп. Перемоги, 67в",2 кімнати,73 / 29 / 18 м²,поверх 14 з 17,спец. проект,монолітно-каркасний,2019,Галагани
