price_main,rooms,area,floor,building_type,materials,district,building_type_old,materials_old,district_old,house_age,price_per_meter,repair
1742650,2,50.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,52,34853,2.0
2489500,2,43.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,57895,0.0
1857550,3,63.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,29485,2.0
3447000,3,71.0,1,0.0713678483400785,0.3894183423086505,0.1986693307950612,спец. проект,цегляний будинок,Березняки,22,48549,0.0
6511000,2,75.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,86813,1.0
2106500,4,64.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,32914,2.0
4596000,1,50.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,91920,1.0
4596000,3,118.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,23,38949,2.0
1915000,3,60.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,31917,2.0
1915000,2,43.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,44535,2.0
1646900,1,22.0,1,0.7559753651467324,0.3894183423086505,0.1986693307950612,гостинка,цегляний будинок,Березняки,50,74859,1.0
3753400,3,66.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,11,56870,0.0
2795900,3,73.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,53,38300,2.0
1953300,3,62.0,0,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,31505,2.0
3715100,1,55.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,13,67547,0.0
1551150,1,33.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,53,47005,2.0
3753400,1,50.3,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,74620,1.0
3389550,3,70.0,1,0.0713678483400785,0.3894183423086505,0.1986693307950612,спец. проект,цегляний будинок,Березняки,30,48422,0.0
1187300,1,22.0,1,0.7559753651467324,0.3894183423086505,0.1986693307950612,гостинка,цегляний будинок,Березняки,51,53968,0.0
2106500,1,35.0,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,51,60186,0.0
5247100,2,65.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,80725,1.0
9575000,3,118.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,11,81144,1.0
3217200,3,71.0,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,51,45313,2.0
1263900,1,22.5,1,0.7559753651467324,0.3894183423086505,0.1986693307950612,гостинка,цегляний будинок,Березняки,51,56173,0.0
1876700,2,45.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,41704,2.0
11107000,4,140.2,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,79223,1.0
3408700,3,72.0,1,0.0713678483400785,0.3894183423086505,0.1986693307950612,спец. проект,цегляний будинок,Березняки,28,47343,2.0
2910800,3,70.0,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,51,41583,2.0
7162100,2,88.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,14,81388,1.0
2868670,3,61.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,47027,2.0
2489500,1,47.42,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,52499,0.0
2183100,2,48.4,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,53,45105,2.0
3791700,3,99.31,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,38180,2.0
2298000,2,46.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,56,49957,0.0
22572488,5,424.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,23,53237,0.0
3826170,1,46.8,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,81756,1.0
1953300,2,45.1,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,51,43310,2.0
1723500,1,35.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,49243,0.0
